well_id,original
126431707,120.0
126431721,164.0
126431723,204.0
126431737,164.0
126431739,204.0
126431753,166.0
126431755,204.0
126431772,204.0
126431787,180.0
126431789,194.0
126431803,104.0
126431805,140.0
126432051,106.0
126432053,188.0
126432056,156.0
126432068,144.0
126432070,184.0
126432072,134.0
126432086,184.0
126432088,140.0
126432100,194.0
126432102,114.0
126432104,140.0
126432116,194.0
126432132,140.0
126432134,156.0
126432150,202.0
126432166,192.0
126432168,182.0
126432182,192.0
126432184,202.0
126432216,118.0
126432232,156.0
126432485,166.0
126432487,178.0
126432489,172.0
126432491,156.0
126432501,202.0
126432503,178.0
126432505,124.0
126432507,156.0
126432519,156.0
126432521,134.0
126432536,192.0
126432538,182.0
126432540,184.0
126432554,194.0
126432556,202.0
126432558,184.0
126432570,192.0
126432572,182.0
126432574,178.0
126432586,194.0
126432588,114.0
126432591,178.0
126432604,140.0
126432606,134.0
126432608,196.0
126432620,184.0
126432622,134.0
126432624,134.0
126432636,178.0
126432638,124.0
126432640,134.0
126432652,184.0
126432654,124.0
126432656,124.0
126432668,184.0
126432670,124.0
126432672,124.0
126434319,192.0
126434322,124.0
126434324,196.0
126434326,192.0
126434329,156.0
126434332,156.0
126434342,140.0
126434345,156.0
126434349,202.0
126434352,152.0
126434356,156.0
126434359,108.0
126434371,134.0
126434375,156.0
126434378,186.0
126434381,152.0
126434383,200.0
126434385,124.0
126434393,184.0
126434395,134.0
126434397,134.0
126434399,152.0
126434401,170.0
126434409,152.0
126434413,134.0
126434417,140.0
126434420,108.0
126434422,156.0
126434433,152.0
126434437,134.0
126434440,134.0
126434446,108.0
126434459,168.0
126434461,178.0
126434463,124.0
126434466,196.0
126434469,170.0
126434472,156.0
126434480,168.0
126434483,152.0
126434485,156.0
126434499,168.0
126434502,168.0
126434504,156.0
126434506,134.0
126434508,136.0
126434521,178.0
126434524,168.0
126434527,156.0
126434530,134.0
126434532,136.0
126434557,134.0
126434559,178.0
126434561,134.0
126434563,134.0
126434565,108.0
126434574,49.0
126434577,196.0
126434581,156.0
126434583,108.0
126434977,124.0
126434979,200.0
126434983,146.0
126434985,110.0
126434993,178.0
126434995,200.0
126434999,110.0
126435001,136.0
126435009,170.0
126435011,170.0
126435013,170.0
126435015,116.0
126435017,110.0
126435025,200.0
126435027,108.0
126435029,200.0
126435031,198.0
126435041,170.0
126435043,116.0
126435049,158.0
126435057,170.0
126435059,136.0
126435061,200.0
126435063,198.0
126435065,130.0
126435073,168.0
126435075,136.0
126435077,146.0
126435079,136.0
126435089,168.0
126435091,136.0
126435093,136.0
126435095,136.0
126435105,200.0
126435107,146.0
126435109,136.0
126435111,130.0
126435121,200.0
126435123,130.0
126435125,162.0
126435127,130.0
126435137,200.0
126435143,116.0
126435153,200.0
126435155,162.0
126435157,146.0
126435159,158.0
126435708,134.0
126435710,124.0
126435712,176.0
126435726,136.0
126435728,49.0
126435736,172.0
126435740,200.0
126435742,116.0
126435756,172.0
126435758,110.0
126435772,172.0
126435774,110.0
126435788,186.0
126435820,208.0
126435822,196.0
126435836,172.0
126435838,196.0
126435852,172.0
126435854,176.0
126435868,49.0
126435870,202.0
126435884,124.0
126435886,186.0
126439237,192.0
126439253,184.0
126439285,118.0
127687492,118.0
127687556,188.0
127686937,154.0
127686939,144.0
127686941,154.0
127686943,126.0
127686947,192.0
127686953,192.0
127686955,144.0
127686957,102.0
127686963,144.0
127686969,148.0
127686971,148.0
127686975,194.0
127686979,144.0
127686985,142.0
127686987,102.0
127686989,144.0
127686991,140.0
127686995,184.0
127687001,126.0
127687003,142.0
127687005,144.0
127687007,140.0
127687009,204.0
127687011,184.0
127687017,192.0
127687019,206.0
127687021,206.0
127687023,192.0
127687025,204.0
127687027,156.0
127687033,144.0
127687035,206.0
127687037,166.0
127687039,144.0
127687041,204.0
127687043,182.0
127687049,106.0
127687051,106.0
127687053,138.0
127687055,164.0
127687057,204.0
127687065,144.0
127687067,106.0
127687069,138.0
127687071,164.0
127687073,194.0
127687081,154.0
127687083,138.0
127687085,138.0
127687087,120.0
127687089,140.0
127687097,154.0
127687099,192.0
127687101,126.0
127687103,148.0
127687105,140.0
127687113,192.0
127687115,192.0
127687117,148.0
127687119,180.0
139409741,142.0
139409745,114.0
139409747,140.0
139409749,184.0
139409751,202.0
139409753,196.0
139409757,126.0
139409759,120.0
139409761,114.0
139409763,178.0
139409765,194.0
139409767,156.0
139409769,196.0
139409775,182.0
139409777,114.0
139409779,178.0
139409781,194.0
139409783,134.0
139409785,196.0
139409791,104.0
139409793,104.0
139409795,178.0
139409797,140.0
139409799,152.0
139409801,202.0
139409809,202.0
139409811,186.0
139409813,184.0
139409815,140.0
139409823,104.0
139409825,156.0
139409829,152.0
139409831,140.0
139409839,194.0
139409841,124.0
139409843,178.0
139409845,196.0
139409847,150.0
139409853,194.0
139409855,192.0
139409857,134.0
139409859,182.0
139409861,196.0
139409869,104.0
139409871,144.0
139409873,134.0
139409875,174.0
139409877,186.0
139409879,152.0
139409887,184.0
139409889,118.0
139409891,156.0
139409893,134.0
139409895,200.0
139409903,184.0
139409905,118.0
139409907,156.0
139409909,134.0
139409911,168.0
139409919,184.0
139409921,194.0
139409925,124.0
139409927,168.0
141667077,154.0
141667079,134.0
141667081,200.0
141667083,136.0
141667085,136.0
141667087,170.0
141667089,146.0
141667093,194.0
141667095,134.0
141667097,200.0
141667099,124.0
141667101,136.0
141667103,108.0
141667105,198.0
141667109,156.0
141667111,134.0
141667113,200.0
141667115,124.0
141667117,170.0
141667119,146.0
141667121,198.0
141667125,156.0
141667127,172.0
141667129,170.0
141667131,136.0
141667133,116.0
141667135,146.0
141667137,116.0
141667141,134.0
141667143,124.0
141667145,136.0
141667147,134.0
141667149,108.0
141667151,110.0
141667153,110.0
141667157,124.0
141667159,124.0
141667161,170.0
141667163,200.0
141667165,130.0
141667167,110.0
